date,field,channel,min,max,mean,std,median,q1,q3,nonzero_count,zero_count
20220915,input_tensor,4,0.0,23.962072372436523,1.244606375694275,3.88350510597229,0.0,0.0,0.0,45673,348887
20220915,input_tensor,5,0.0,19.434431076049805,0.07293889671564102,0.9663713574409485,0.0,0.0,0.0,3057,391503
20220915,input_tensor,6,0.0,22.522727966308594,0.21596287190914154,1.6415328979492188,0.0,0.0,0.0,9464,385096
20220915,input_tensor,7,0.0,21.98046112060547,0.08824415504932404,1.0873126983642578,0.0,0.0,0.0,3303,391257
20220915,normalized_tensor,0,-0.3527075946331024,25.104955673217773,1.5817226639569526e-08,1.0,-0.3527075946331024,-0.3527075946331024,-0.13324499130249023,394560,0
20220915,normalized_tensor,1,-0.2095915526151657,25.39004898071289,-8.720744126833324e-09,0.9999998807907104,-0.2095915526151657,-0.2095915526151657,-0.2095915526151657,394560,0
20220915,normalized_tensor,2,-0.26163721084594727,68.94951629638672,1.7924900674870514e-08,0.9999998807907104,-0.26163721084594727,-0.26163721084594727,-0.26163721084594727,394560,0
20220915,normalized_tensor,3,-0.19265788793563843,26.0228328704834,-2.3967544393599383e-08,0.9999998211860657,-0.19265788793563843,-0.19265788793563843,-0.19265788793563843,394560,0
20220915,normalized_tensor,4,-0.32048532366752625,5.849732398986816,-5.495422428225538e-08,0.9999998807907104,-0.32048532366752625,-0.32048532366752625,-0.32048532366752625,394560,0
20220915,normalized_tensor,5,-0.07547708600759506,20.035249710083008,1.8737031481919075e-08,1.0,-0.07547708600759506,-0.07547708600759506,-0.07547708600759506,394560,0
20220915,normalized_tensor,6,-0.13156171143054962,13.588984489440918,-3.8672925972704775e-11,1.0000001192092896,-0.13156171143054962,-0.13156171143054962,-0.13156171143054962,394560,0
20220915,normalized_tensor,7,-0.08115802705287933,20.13424301147461,7.444537875045398e-09,1.0000001192092896,-0.08115802705287933,-0.08115802705287933,-0.08115802705287933,394560,0
20220916,input_tensor,0,0.0,131.0,1.687707781791687,4.733089923858643,0.0,0.0,1.0,111767,282793
20220916,input_tensor,1,0.0,10.0,0.06706457585096359,0.31877583265304565,0.0,0.0,0.0,20949,373611
20220916,input_tensor,2,0.0,62.0,0.26551854610443115,0.9879809021949768,0.0,0.0,0.0,53351,341209
20220916,input_tensor,3,0.0,9.0,0.0559103824198246,0.29306936264038086,0.0,0.0,0.0,17399,377161
20220916,input_tensor,4,0.0,23.818212509155273,1.2673394680023193,3.9171085357666016,0.0,0.0,0.0,46483,348077
20220916,input_tensor,5,0.0,19.438207626342773,0.06850661337375641,0.9303280115127563,0.0,0.0,0.0,2928,391632
20220916,input_tensor,6,0.0,21.436126708984375,0.2260850965976715,1.6787351369857788,0.0,0.0,0.0,9839,384721
20220916,input_tensor,7,0.0,21.299564361572266,0.08245757222175598,1.0482786893844604,0.0,0.0,0.0,3092,391468
20220916,normalized_tensor,0,-0.3565763235092163,27.32090187072754,-1.960717277427193e-08,1.0,-0.3565763235092163,-0.3565763235092163,-0.1452978551387787,394560,0
20220916,normalized_tensor,1,-0.2103816121816635,31.159626007080078,5.504124089839024e-08,0.9999998807907104,-0.2103816121816635,-0.2103816121816635,-0.2103816121816635,394560,0
20220916,normalized_tensor,2,-0.2687486708164215,62.48550033569336,-1.4889075750090797e-08,1.0,-0.2687486708164215,-0.2687486708164215,-0.2687486708164215,394560,0
20220916,normalized_tensor,3,-0.19077526032924652,30.518678665161133,1.2762065182414517e-08,0.9999998807907104,-0.19077526032924652,-0.19077526032924652,-0.19077526032924652,394560,0
20220916,normalized_tensor,4,-0.32353952527046204,5.757019996643066,2.548545730007845e-08,1.0,-0.32353952527046204,-0.32353952527046204,-0.32353952527046204,394560,0
20220916,normalized_tensor,5,-0.07363705337047577,20.820293426513672,-2.5910860124156443e-09,0.9999998807907104,-0.07363705337047577,-0.07363705337047577,-0.07363705337047577,394560,0
20220916,normalized_tensor,6,-0.13467586040496826,12.634536743164062,-1.1756569051613042e-08,0.9999999403953552,-0.13467586040496826,-0.13467586040496826,-0.13467586040496826,394560,0
20220916,normalized_tensor,7,-0.07865997403860092,20.239948272705078,-1.8553334868443017e-08,0.9999999403953552,-0.07865997403860092,-0.07865997403860092,-0.07865997403860092,394560,0
20220926,input_tensor,0,0.0,313.0,4.000514507293701,10.724888801574707,0.0,0.0,3.0,135579,258981
20220926,input_tensor,1,0.0,17.0,0.18066707253456116,0.6562432646751404,0.0,0.0,0.0,43103,351457
20220926,input_tensor,2,0.0,157.0,0.681176483631134,2.3407437801361084,0.0,0.0,0.0,84432,310128
20220926,input_tensor,3,0.0,22.0,0.1405920535326004,0.560825526714325,0.0,0.0,0.0,35374,359186
20220926,input_tensor,4,0.0,25.162593841552734,1.994107961654663,4.742765426635742,0.0,0.0,0.0,75613,318947
20220926,input_tensor,5,0.0,19.434627532958984,0.140768364071846,1.3247075080871582,0.0,0.0,0.0,6461,388099
20220926,input_tensor,6,0.0,21.88634490966797,0.44202548265457153,2.3230555057525635,0.0,0.0,0.0,19821,374739
20220926,input_tensor,7,0.0,21.681764602661133,0.1490950733423233,1.3946062326431274,0.0,0.0,0.0,6133,388427
20220926,normalized_tensor,0,-0.3730122148990631,28.811439514160156,-1.5275805509418205e-08,1.0,-0.3730122148990631,-0.3730122148990631,-0.09328903257846832,394560,0
20220926,normalized_tensor,1,-0.27530503273010254,25.62972068786621,3.809283111166906e-09,1.0,-0.27530503273010254,-0.27530503273010254,-0.27530503273010254,394560,0
20220926,normalized_tensor,2,-0.2910085618495941,66.78168487548828,2.1183094389698454e-08,1.0000001192092896,-0.2910085618495941,-0.2910085618495941,-0.2910085618495941,394560,0
20220926,normalized_tensor,3,-0.25068768858909607,38.97719955444336,1.187258735768637e-08,0.9999998807907104,-0.25068768858909607,-0.25068768858909607,-0.25068768858909607,394560,0
20220926,normalized_tensor,4,-0.4204525947570801,4.885015964508057,-3.963974748444343e-08,1.0000001192092896,-0.4204525947570801,-0.4204525947570801,-0.4204525947570801,394560,0
20220926,normalized_tensor,5,-0.10626373440027237,14.564618110656738,-2.2468968907674025e-08,0.9999998807907104,-0.10626373440027237,-0.10626373440027237,-0.10626373440027237,394560,0
20220926,normalized_tensor,6,-0.19027762115001678,9.231082916259766,4.1147991680645646e-08,1.0,-0.19027762115001678,-0.19027762115001678,-0.19027762115001678,394560,0
20220926,normalized_tensor,7,-0.10690836608409882,15.439963340759277,-1.0712399856060983e-08,1.0,-0.10690836608409882,-0.10690836608409882,-0.10690836608409882,394560,0
20220928,input_tensor,0,0.0,327.0,4.044834613800049,10.775367736816406,0.0,0.0,3.0,136889,257671
20220928,input_tensor,1,0.0,22.0,0.18197739124298096,0.6610255241394043,0.0,0.0,0.0,43310,351250
20220928,input_tensor,2,0.0,180.0,0.6801779270172119,2.3214850425720215,0.0,0.0,0.0,85371,309189
20220928,input_tensor,3,0.0,22.0,0.15328466892242432,0.5919835567474365,0.0,0.0,0.0,37826,356734
20220928,input_tensor,4,0.0,24.95421028137207,2.0273120403289795,4.778200149536133,0.0,0.0,0.0,76811,317749
20220928,input_tensor,5,0.0,19.439075469970703,0.14018690586090088,1.326523780822754,0.0,0.0,0.0,6448,388112
20220928,input_tensor,6,0.0,21.884845733642578,0.4498557448387146,2.341604232788086,0.0,0.0,0.0,20160,374400
20220928,input_tensor,7,0.0,22.781883239746094,0.15863406658172607,1.4352012872695923,0.0,0.0,0.0,6535,388025
20220928,normalized_tensor,0,-0.3753778636455536,29.971614837646484,4.503462136540293e-08,1.0,-0.3753778636455536,-0.3753778636455536,-0.09696509689092636,394560,0
20220928,normalized_tensor,1,-0.27529555559158325,33.00632095336914,1.6474665187615756e-08,0.9999998807907104,-0.27529555559158325,-0.27529555559158325,-0.27529555559158325,394560,0
20220928,normalized_tensor,2,-0.29299259185791016,77.24358367919922,6.013639808344351e-09,1.0,-0.29299259185791016,-0.29299259185791016,-0.29299259185791016,394560,0
20220928,normalized_tensor,3,-0.25893399119377136,36.90426254272461,-6.690415776944292e-09,0.9999998807907104,-0.25893399119377136,-0.25893399119377136,-0.25893399119377136,394560,0
20220928,normalized_tensor,4,-0.42428362369537354,4.798229217529297,-1.399959881354107e-08,1.0000001192092896,-0.42428362369537354,-0.42428362369537354,-0.42428362369537354,394560,0
20220928,normalized_tensor,5,-0.10567990690469742,14.548468589782715,1.3806234377966575e-08,0.9999998807907104,-0.10567990690469742,-0.10567990690469742,-0.10567990690469742,394560,0
20220928,normalized_tensor,6,-0.19211433827877045,9.153976440429688,-2.892734762838245e-08,1.0,-0.19211433827877045,-0.19211433827877045,-0.19211433827877045,394560,0
20220928,normalized_tensor,7,-0.11053088307380676,15.7631196975708,2.9932841982827085e-08,1.0,-0.11053088307380676,-0.11053088307380676,-0.11053088307380676,394560,0
20220930,input_tensor,0,0.0,133.0,1.6834220886230469,4.684351444244385,0.0,0.0,1.0,112553,282007
20220930,input_tensor,1,0.0,9.0,0.06368106603622437,0.30760642886161804,0.0,0.0,0.0,20099,374461
20220930,input_tensor,2,0.0,67.0,0.2776206433773041,1.0249226093292236,0.0,0.0,0.0,54633,339927
20220930,input_tensor,3,0.0,9.0,0.06053071841597557,0.31282463669776917,0.0,0.0,0.0,18410,376150
20220930,input_tensor,4,0.0,23.99928855895996,1.2366390228271484,3.875302314758301,0.0,0.0,0.0,45483,349077
20220930,input_tensor,5,0.0,19.39130401611328,0.06366583704948425,0.8969650864601135,0.0,0.0,0.0,2726,391834
20220930,input_tensor,6,0.0,21.54020881652832,0.23023389279842377,1.6951038837432861,0.0,0.0,0.0,10041,384519
20220930,input_tensor,7,0.0,22.210872650146484,0.08629181981086731,1.0767637491226196,0.0,0.0,0.0,3234,391326
20220930,normalized_tensor,0,-0.3593714237213135,28.033031463623047,1.9839209386418588e-08,0.9999999403953552,-0.3593714237213135,-0.3593714237213135,-0.14589470624923706,394560,0
20220930,normalized_tensor,1,-0.20702125132083893,29.051145553588867,-2.8559954401430332e-08,1.0000001192092896,-0.20702125132083893,-0.20702125132083893,-0.20702125132083893,394560,0
20220930,normalized_tensor,2,-0.2708698511123657,65.09992218017578,2.680033617252775e-08,0.9999999403953552,-0.2708698511123657,-0.2708698511123657,-0.2708698511123657,394560,0
20220930,normalized_tensor,3,-0.19349728524684906,28.576616287231445,3.389681779708553e-08,1.0,-0.19349728524684906,-0.19349728524684906,-0.19349728524684906,394560,0
20220930,normalized_tensor,4,-0.3191077411174774,5.87377405166626,1.0364344049662577e-08,0.9999999403953552,-0.3191077411174774,-0.3191077411174774,-0.3191077411174774,394560,0
20220930,normalized_tensor,5,-0.07097917050123215,21.547815322875977,4.4860590797668465e-09,0.9999998807907104,-0.07097917050123215,-0.07097917050123215,-0.07097917050123215,394560,0
20220930,normalized_tensor,6,-0.13582287728786469,12.57148551940918,1.5469169278858885e-09,1.0,-0.13582287728786469,-0.13582287728786469,-0.13582287728786469,394560,0
20220930,normalized_tensor,7,-0.08013997226953506,20.547292709350586,-8.353351788059626e-09,1.0,-0.08013997226953506,-0.08013997226953506,-0.08013997226953506,394560,0
20221001,input_tensor,0,0.0,131.0,1.5871832370758057,4.605055809020996,0.0,0.0,1.0,109328,285232
