tl_id,phase_seq,char_idx,signal_char,lane_id,from_edge,to_edge
201300,1,11,r,:201300_10_1,477610053_02020202_01,477610002_01
201300,1,12,r,:201300_12_0,477610053_02020202_01,477660958_01
201300,1,13,y,:201300_13_0,477660958_02,477610053_02020202_02
201300,1,14,y,:201300_14_0,477660958_02,477604809_01
201300,1,15,y,:201300_14_1,477660958_02,477604809_01
201300,1,16,g,:201300_16_0,477660958_02,477610002_01
201300,1,17,g,:201300_17_0,477660958_02,477660958_01
201300,2,0,r,:201300_0_0,477610002_02,477660958_01
201300,2,1,r,:201300_1_0,477610002_02,477610053_02020202_02
201300,2,2,r,:201300_1_1,477610002_02,477610053_02020202_02
201300,2,3,r,:201300_3_0,477610002_02,477604809_01
201300,2,4,r,:201300_4_0,477604809_02,477610002_01
201300,2,5,r,:201300_5_0,477604809_02,477660958_01
201300,2,6,r,:201300_5_1,477604809_02,477660958_01
201300,2,7,G,:201300_7_0,477604809_02,477610053_02020202_02
201300,2,8,G,:201300_8_0,477604809_02,477604809_01
201300,2,9,r,:201300_9_0,477610053_02020202_01,477604809_01
201300,2,10,r,:201300_10_0,477610053_02020202_01,477610002_01
201300,2,11,r,:201300_10_1,477610053_02020202_01,477610002_01
201300,2,12,r,:201300_12_0,477610053_02020202_01,477660958_01
201300,2,13,r,:201300_13_0,477660958_02,477610053_02020202_02
201300,2,14,r,:201300_14_0,477660958_02,477604809_01
201300,2,15,r,:201300_14_1,477660958_02,477604809_01
201300,2,16,G,:201300_16_0,477660958_02,477610002_01
201300,2,17,G,:201300_17_0,477660958_02,477660958_01
201300,3,0,r,:201300_0_0,477610002_02,477660958_01
201300,3,1,r,:201300_1_0,477610002_02,477610053_02020202_02
201300,3,2,r,:201300_1_1,477610002_02,477610053_02020202_02
201300,3,3,r,:201300_3_0,477610002_02,477604809_01
201300,3,4,r,:201300_4_0,477604809_02,477610002_01
201300,3,5,r,:201300_5_0,477604809_02,477660958_01
201300,3,6,r,:201300_5_1,477604809_02,477660958_01
201300,3,7,y,:201300_7_0,477604809_02,477610053_02020202_02
201300,3,8,y,:201300_8_0,477604809_02,477604809_01
201300,3,9,r,:201300_9_0,477610053_02020202_01,477604809_01
201300,3,10,r,:201300_10_0,477610053_02020202_01,477610002_01
201300,3,11,r,:201300_10_1,477610053_02020202_01,477610002_01
201300,3,12,r,:201300_12_0,477610053_02020202_01,477660958_01
201300,3,13,r,:201300_13_0,477660958_02,477610053_02020202_02
201300,3,14,r,:201300_14_0,477660958_02,477604809_01
201300,3,15,r,:201300_14_1,477660958_02,477604809_01
201300,3,16,y,:201300_16_0,477660958_02,477610002_01
201300,3,17,y,:201300_17_0,477660958_02,477660958_01
201300,4,0,G,:201300_0_0,477610002_02,477660958_01
201300,4,1,G,:201300_1_0,477610002_02,477610053_02020202_02
201300,4,2,G,:201300_1_1,477610002_02,477610053_02020202_02
201300,4,3,g,:201300_3_0,477610002_02,477604809_01
201300,4,4,r,:201300_4_0,477604809_02,477610002_01
201300,4,5,r,:201300_5_0,477604809_02,477660958_01
201300,4,6,r,:201300_5_1,477604809_02,477660958_01
201300,4,7,r,:201300_7_0,477604809_02,477610053_02020202_02
201300,4,8,r,:201300_8_0,477604809_02,477604809_01
201300,4,9,G,:201300_9_0,477610053_02020202_01,477604809_01
201300,4,10,G,:201300_10_0,477610053_02020202_01,477610002_01
201300,4,11,G,:201300_10_1,477610053_02020202_01,477610002_01
201300,4,12,g,:201300_12_0,477610053_02020202_01,477660958_01
201300,4,13,r,:201300_13_0,477660958_02,477610053_02020202_02
201300,4,14,r,:201300_14_0,477660958_02,477604809_01
201300,4,15,r,:201300_14_1,477660958_02,477604809_01
201300,4,16,r,:201300_16_0,477660958_02,477610002_01
201300,4,17,r,:201300_17_0,477660958_02,477660958_01
201300,5,0,y,:201300_0_0,477610002_02,477660958_01
201300,5,1,y,:201300_1_0,477610002_02,477610053_02020202_02
201300,5,2,y,:201300_1_1,477610002_02,477610053_02020202_02
201300,5,3,g,:201300_3_0,477610002_02,477604809_01
201300,5,4,r,:201300_4_0,477604809_02,477610002_01
201300,5,5,r,:201300_5_0,477604809_02,477660958_01
201300,5,6,r,:201300_5_1,477604809_02,477660958_01
201300,5,7,r,:201300_7_0,477604809_02,477610053_02020202_02
201300,5,8,r,:201300_8_0,477604809_02,477604809_01
201300,5,9,y,:201300_9_0,477610053_02020202_01,477604809_01
201300,5,10,y,:201300_10_0,477610053_02020202_01,477610002_01
201300,5,11,y,:201300_10_1,477610053_02020202_01,477610002_01
201300,5,12,g,:201300_12_0,477610053_02020202_01,477660958_01
201300,5,13,r,:201300_13_0,477660958_02,477610053_02020202_02
201300,5,14,r,:201300_14_0,477660958_02,477604809_01
201300,5,15,r,:201300_14_1,477660958_02,477604809_01
201300,5,16,r,:201300_16_0,477660958_02,477610002_01
201300,5,17,r,:201300_17_0,477660958_02,477660958_01
201300,6,0,r,:201300_0_0,477610002_02,477660958_01
201300,6,1,r,:201300_1_0,477610002_02,477610053_02020202_02
201300,6,2,r,:201300_1_1,477610002_02,477610053_02020202_02
201300,6,3,G,:201300_3_0,477610002_02,477604809_01
201300,6,4,r,:201300_4_0,477604809_02,477610002_01
201300,6,5,r,:201300_5_0,477604809_02,477660958_01
201300,6,6,r,:201300_5_1,477604809_02,477660958_01
201300,6,7,r,:201300_7_0,477604809_02,477610053_02020202_02
201300,6,8,r,:201300_8_0,477604809_02,477604809_01
201300,6,9,r,:201300_9_0,477610053_02020202_01,477604809_01
201300,6,10,r,:201300_10_0,477610053_02020202_01,477610002_01
201300,6,11,r,:201300_10_1,477610053_02020202_01,477610002_01
201300,6,12,G,:201300_12_0,477610053_02020202_01,477660958_01
201300,6,13,r,:201300_13_0,477660958_02,477610053_02020202_02
201300,6,14,r,:201300_14_0,477660958_02,477604809_01
201300,6,15,r,:201300_14_1,477660958_02,477604809_01
201300,6,16,r,:201300_16_0,477660958_02,477610002_01
201300,6,17,r,:201300_17_0,477660958_02,477660958_01
201300,7,0,r,:201300_0_0,477610002_02,477660958_01
201300,7,1,r,:201300_1_0,477610002_02,477610053_02020202_02
201300,7,2,r,:201300_1_1,477610002_02,477610053_02020202_02
201300,7,3,y,:201300_3_0,477610002_02,477604809_01
201300,7,4,r,:201300_4_0,477604809_02,477610002_01
201300,7,5,r,:201300_5_0,477604809_02,477660958_01
201300,7,6,r,:201300_5_1,477604809_02,477660958_01
201300,7,7,r,:201300_7_0,477604809_02,477610053_02020202_02
201300,7,8,r,:201300_8_0,477604809_02,477604809_01
201300,7,9,r,:201300_9_0,477610053_02020202_01,477604809_01
201300,7,10,r,:201300_10_0,477610053_02020202_01,477610002_01
201300,7,11,r,:201300_10_1,477610053_02020202_01,477610002_01
201300,7,12,y,:201300_12_0,477610053_02020202_01,477660958_01
201300,7,13,r,:201300_13_0,477660958_02,477610053_02020202_02
201300,7,14,r,:201300_14_0,477660958_02,477604809_01
201300,7,15,r,:201300_14_1,477660958_02,477604809_01
201300,7,16,r,:201300_16_0,477660958_02,477610002_01
201300,7,17,r,:201300_17_0,477660958_02,477660958_01
201301,0,0,G,:201301_0_0,477604827_02_01,477649559_01
201301,0,1,G,:201301_1_0,477604827_02_01,477649571_010101_01
201301,0,2,G,:201301_1_1,477604827_02_01,477649571_010101_01
201301,0,3,g,:201301_3_0,477604827_02_01,477649509_01
201301,0,4,r,:201301_4_0,477649509_02,477604827_02_02
201301,0,5,r,:201301_5_0,477649509_02,477649559_01
201301,0,6,r,:201301_5_1,477649509_02,477649559_01
201301,0,7,r,:201301_7_0,477649509_02,477649571_010101_01
201301,0,8,r,:201301_8_0,477649509_02,477649509_01
201301,0,9,G,:201301_9_0,477649571_010101_02,477649509_01
201301,0,10,G,:201301_10_0,477649571_010101_02,477604827_02_02
201301,0,11,G,:201301_10_1,477649571_010101_02,477604827_02_02
201301,0,12,g,:201301_12_0,477649571_010101_02,477649559_01
201301,0,13,r,:201301_13_0,477649559_02,477649571_010101_01
201301,0,14,r,:201301_14_0,477649559_02,477649509_01
201301,0,15,r,:201301_14_1,477649559_02,477649509_01
201301,0,16,r,:201301_16_0,477649559_02,477604827_02_02
201301,1,0,y,:201301_0_0,477604827_02_01,477649559_01
201301,1,1,y,:201301_1_0,477604827_02_01,477649571_010101_01
201301,1,2,y,:201301_1_1,477604827_02_01,477649571_010101_01
201301,1,3,g,:201301_3_0,477604827_02_01,477649509_01
201301,1,4,r,:201301_4_0,477649509_02,477604827_02_02
201301,1,5,r,:201301_5_0,477649509_02,477649559_01
201301,1,6,r,:201301_5_1,477649509_02,477649559_01
201301,1,7,r,:201301_7_0,477649509_02,477649571_010101_01
201301,1,8,r,:201301_8_0,477649509_02,477649509_01
201301,1,9,y,:201301_9_0,477649571_010101_02,477649509_01
201301,1,10,y,:201301_10_0,477649571_010101_02,477604827_02_02
